Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, keyspace, interval, Op0, Op1, TotalOps
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 10, 160, 10, 25039029, 86397016, 111436045
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 20, 160, 10, 49438195, 173385926, 222824121
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 30, 160, 10, 73483932, 259814274, 333298206
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 40, 160, 10, 97260342, 345618831, 442879173
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 50, 160, 10, 120784206, 430737134, 551521340
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 60, 160, 10, 144012928, 515181096, 659194024
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 70, 160, 10, 166989369, 599065946, 766055315
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 80, 160, 10, 189705910, 682382322, 872088232
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 90, 160, 10, 212277635, 763679638, 975957273
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 100, 160, 10, 234523800, 845680262, 1080204062
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 110, 160, 10, 256526813, 927024559, 1183551372
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 120, 160, 10, 278325516, 1007916917, 1286242433
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 130, 160, 10, 299939197, 1088172553, 1388111750
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 140, 160, 10, 321320490, 1167915079, 1489235569
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 150, 160, 10, 342540014, 1247222230, 1589762244
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 160, 160, 10, 363558254, 1325903070, 1689461324
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 170, 160, 10, 384425777, 1404323740, 1788749517
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 180, 160, 10, 405096018, 1482217592, 1887313610
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 190, 160, 10, 425627661, 1559519465, 1985147126
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 200, 160, 10, 445914383, 1635253428, 2081167811
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 210, 160, 10, 465983411, 1711413189, 2177396600
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 220, 160, 10, 485904456, 1787121780, 2273026236
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 230, 160, 10, 505639991, 1862492189, 2368132180
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 240, 160, 10, 525273580, 1937514593, 2462788173
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 250, 160, 10, 544771997, 2012071815, 2556843812
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 260, 160, 10, 564131373, 2086417346, 2650548719
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 270, 160, 10, 583391303, 2160384164, 2743775467
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 280, 160, 10, 602535917, 2233973528, 2836509445
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 290, 160, 10, 621566351, 2307241923, 2928808274
2026-02-02, 16:16:11, bst, 10000000, 128, numa, numa, 300, 160, 10, 631096866, 2380685619, 3011782485
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 10, 160, 10, 165640915, 168218140, 333859055
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 20, 160, 10, 330697308, 336348484, 667045792
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 30, 160, 10, 495307584, 504363873, 999671457
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 40, 160, 10, 660614583, 672091018, 1332705601
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 50, 160, 10, 825288528, 839428228, 1664716756
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 60, 160, 10, 990396973, 1006377414, 1996774387
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 70, 160, 10, 1154545581, 1172873650, 2327419231
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 80, 160, 10, 1319403762, 1339234181, 2658637943
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 90, 160, 10, 1484174749, 1504746102, 2988920851
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 100, 160, 10, 1648025770, 1669589017, 3317614787
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 110, 160, 10, 1812399808, 1833959311, 3646359119
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 120, 160, 10, 1975800611, 1997621900, 3973422511
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 130, 160, 10, 2138909934, 2160845685, 4299755619
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 140, 160, 10, 2301784775, 2323002580, 4624787355
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 150, 160, 10, 2463913486, 2484662085, 4948575571
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 160, 160, 10, 2625250193, 2645440447, 5270690640
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 170, 160, 10, 2786360311, 2806099229, 5592459540
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 180, 160, 10, 2946945506, 2965830130, 5912775636
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 190, 160, 10, 3107338723, 3125067714, 6232406437
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 200, 160, 10, 3268201039, 3284078391, 6552279430
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 210, 160, 10, 3428299103, 3442660505, 6870959608
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 220, 160, 10, 3588253042, 3600794559, 7189047601
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 230, 160, 10, 3748286847, 3759025630, 7507312477
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 240, 160, 10, 3908315327, 3916927037, 7825242364
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 250, 160, 10, 4068610725, 4074374059, 8142984784
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 260, 160, 10, 4228450903, 4231338818, 8459789721
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 270, 160, 10, 4388286673, 4387682695, 8775969368
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 280, 160, 10, 4547904150, 4543939362, 9091843512
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 290, 160, 10, 4706996416, 4699727058, 9406723474
2026-02-02, 16:22:47, bst, 10000000, 128, numa, regular, 300, 160, 10, 4568010580, 4856510818, 9424521398
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 10, 160, 10, 21968308, 87598881, 109567189
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 20, 160, 10, 43923820, 172254743, 216178563
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 30, 160, 10, 66406196, 254225239, 320631435
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 40, 160, 10, 88056778, 337383375, 425440153
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 50, 160, 10, 111022978, 414750784, 525773762
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 60, 160, 10, 132635816, 495017057, 627652873
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 70, 160, 10, 153525031, 576983749, 730508780
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 80, 160, 10, 173631144, 660023617, 833654761
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 90, 160, 10, 193343709, 743617770, 936961479
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 100, 160, 10, 213042379, 823490777, 1036533156
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 110, 160, 10, 231563595, 908274321, 1139837916
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 120, 160, 10, 250285121, 991510100, 1241795221
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 130, 160, 10, 269238502, 1072849927, 1342088429
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 140, 160, 10, 287712843, 1154927142, 1442639985
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 150, 160, 10, 305492999, 1239067926, 1544560925
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 160, 160, 10, 323911496, 1318942790, 1642854286
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 170, 160, 10, 342084109, 1399104720, 1741188829
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 180, 160, 10, 359794426, 1479857278, 1839651704
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 190, 160, 10, 377107113, 1562029081, 1939136194
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 200, 160, 10, 395404604, 1637578395, 2032982999
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 210, 160, 10, 412939007, 1716068341, 2129007348
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 220, 160, 10, 431286509, 1789979163, 2221265672
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 230, 160, 10, 449164852, 1865451826, 2314616678
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 240, 160, 10, 465567422, 1945999321, 2411566743
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 250, 160, 10, 482598949, 2022865166, 2505464115
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 260, 160, 10, 500024778, 2097252183, 2597276961
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 270, 160, 10, 516910949, 2173272451, 2690183400
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 280, 160, 10, 533603273, 2249356999, 2782960272
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 290, 160, 10, 549956572, 2326148814, 2876105386
2026-02-02, 16:30:17, bst, 10000000, 128, regular, numa, 300, 160, 10, 566865145, 2365413896, 2932279041
2026-02-02, 16:36:56, bst, 10000000, 128, regular, regular, 10, 160, 10, 133358960, 149766205, 283125165
2026-02-02, 16:36:56, bst, 10000000, 128, regular, regular, 20, 160, 10, 270363130, 302058931, 572422061
2026-02-02, 16:36:56, bst, 10000000, 128, regular, regular, 30, 160, 10, 404775508, 457680168, 862455676
2026-02-02, 16:36:56, bst, 10000000, 128, regular, regular, 40, 160, 10, 532824035, 617791187, 1150615222
2026-02-02, 16:36:56, bst, 10000000, 128, regular, regular, 50, 160, 10, 665736811, 776731112, 1442467923
2026-02-02, 16:36:56, bst, 10000000, 128, regular, regular, 60, 160, 10, 797145358, 936206906, 1733352264
2026-02-02, 16:36:56, bst, 10000000, 128, regular, regular, 70, 160, 10, 937210508, 1091098238, 2028308746
